,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139
0,695,806,840,870,767,-2.00295698581,2.74903515189,696,810,841,851,768,-2.02031342719,2.83173213384,695,807,846,824,768,-2.01670063948,2.76934992945,696,804,840,810,767,-1.99943182606,2.72289954684,694,806,841,796,767,-2.03646603598,2.83023028674,692,806,840,781,767,-2.04405652323,2.86282852794,694,806,840,782,767,-2.03545112926,2.77864804315,694,806,840,783,768,-2.75706818719,3.52961919168,695,808,842,787,769,-2.91584841695,3.58662853954,695,801,840,803,772,-2.64928741639,-3.40558111555,701,812,842,850,773,-1.27363698532,-1.20196707601,707,812,840,863,765,-1.40460420408,-0.835743562052,704,801,829,839,756,-1.84559962082,2.29386679411,703,800,828,853,755,-2.05182772282,3.08529632697,703,801,827,863,753,-1.99556684509,2.88099636227,702,800,826,855,753,-1.89941778591,2.39798904828,701,800,826,839,752,-1.91592612384,2.59993601377,702,798,825,798,751,-1.98413803306,2.88042210611,702,800,825,819,751,-1.96138929291,2.75408749906,703,800,824,800,751,-1.93988091241,2.72002781918
1,693,795,827,843,752,-2.46036125134,3.04295181142,690,790,820,814,746,-2.53261009892,3.1738168233,685,773,813,778,736,-2.63401106167,3.22739315282,686,772,815,768,737,-2.89829148282,3.59249816486,688,771,816,768,741,-2.58701015008,3.26405902973,702,804,827,773,757,-1.39682045304,-1.26859801779,705,804,828,798,752,-1.49623312577,-1.09730695422,706,803,822,818,747,-1.65027181239,-1.0392835721,704,796,820,828,743,-1.86869505578,-2.78683637155,693,790,819,839,746,-1.86273781789,-3.46075171124,704,788,816,850,743,-1.89033973114,3.25085782994,703,788,813,848,739,-1.86624757125,-3.0707743087,703,788,812,846,740,-1.85804469625,-2.93883342163,703,788,813,835,739,-1.87454777992,-3.46757547105,700,788,814,814,740,-1.85570525602,3.48593326702,703,788,813,790,739,-1.85544314165,-2.97189822286,704,788,813,769,743,-1.90223923877,-3.41409662804,702,788,814,784,742,-1.86148941974,3.48688925763,703,788,813,769,742,-1.85468306493,3.41367747362,703,788,813,758,741,-1.83281745444,3.34084540575
2,700,787,819,826,755,-2.46373055809,3.26449475988,700,790,821,838,761,-2.51627913001,3.18960192791,699,795,827,830,765,-2.93996711298,-3.56449815108,699,796,833,843,772,-2.95709326585,-3.50817221011,696,802,831,856,762,-1.5782766659,-1.36805778315,703,805,829,846,755,-1.25106554878,-0.819080336857,706,803,821,815,747,-1.41708811969,-0.402648476479,705,799,809,782,751,-1.74917106662,1.49772657439,706,793,809,776,752,-1.85464588746,2.04495364442,705,784,810,790,746,-1.9931019656,2.45282569246,704,784,808,784,748,-2.02165806948,2.54516690238,705,784,810,766,746,-2.00143687765,2.55196518836,705,784,809,753,747,-2.03372021963,2.65504257804,704,785,809,758,746,-2.03305362088,2.64509916222,704,785,811,797,747,-1.97275921432,2.41658353203,705,785,810,772,746,-1.99396311899,2.5016618855,705,784,812,795,745,-1.95444727736,2.36913711198,705,785,811,816,746,-2.00065125285,2.50188069552,705,784,812,824,746,-1.92586775623,2.34068323329,705,786,810,840,747,-1.77116201341,1.61459336946
3,693,808,843,816,775,-2.56143791746,3.46568202444,682,805,847,809,770,-2.75307849973,3.20384322979,668,817,847,805,761,-2.45537754272,-2.82476529875,691,821,833,786,749,-2.30581159048,-2.67938532604,700,815,826,795,762,-1.55953588404,-0.729977763614,706,810,825,774,781,-1.94665466,2.42996186977,706,807,826,814,781,-1.99712732356,2.45744510339,705,807,825,832,781,-2.03064631198,2.57861838063,704,807,826,843,781,-2.01940264851,2.45376790639,705,807,826,858,780,-2.00551874725,2.51070662281,704,805,825,864,781,-2.05763928239,2.64930135747,704,806,826,858,782,-2.03229136943,2.5468083748,704,808,827,862,779,-2.06733689854,2.63964973533,704,807,827,854,780,-2.04334681358,2.53773817266,708,811,824,837,780,-2.01816303572,2.53466443924,706,807,826,811,779,-2.02677272695,2.58021780587,705,806,827,796,779,-2.00626353585,2.55000356336,705,806,824,782,778,-1.94346515167,2.49732171254,704,805,826,796,780,-1.88527625094,2.65780936543,703,804,827,784,780,-2.26268289485,3.0705817936
4,696,786,821,787,771,-2.20940069692,2.77818987551,696,792,821,772,772,-2.32205832127,2.92271493678,690,797,823,771,770,-2.85485541548,3.39969183194,672,800,833,788,737,-2.67274231156,-3.32486536522,688,813,830,780,722,-1.89783380907,-2.11107631736,702,813,826,791,741,-1.45205585921,-0.568701444055,704,816,814,794,767,-1.69331934334,-0.159897239862,703,815,817,820,772,-1.97099322446,2.49845761277,703,814,825,856,775,-2.04258116236,2.6771442097,702,814,828,840,777,-2.10755165766,2.74035528968,703,813,827,857,777,-2.06706215406,2.65195192022,702,813,827,866,774,-2.07835577587,2.66299758508,703,813,828,819,777,-2.08166614706,2.68535212013,704,813,828,800,777,-2.06435588781,2.61788164853,700,812,827,821,775,-2.10898760161,2.71137023741,702,812,827,800,775,-2.0668059095,2.71359865193,702,812,827,793,775,-2.00062948235,2.6525298237,702,812,827,773,775,-1.88636280639,2.51378623467,702,812,828,769,776,-1.91102582959,2.87061104608,702,812,827,777,775,-2.05273154587,-3.40487471585
5,692,800,821,794,763,-2.424672881,2.86430562665,691,800,821,784,763,-2.58785163817,3.02396066368,690,799,821,767,761,-2.41083069495,2.94047425478,691,799,820,765,760,-2.41292543859,2.93278465969,691,799,822,772,760,-2.51093249002,3.03173191388,690,799,821,789,760,-2.78681193812,3.23603625855,694,802,821,815,763,-1.57878384579,-1.24454570974,701,808,826,832,769,-1.5875893094,-0.827986304866,702,808,825,845,771,-1.52828344703,-0.429135927849,701,806,826,861,774,-1.86156480234,2.97141841289,702,805,824,849,772,-1.84043303765,2.42524171786,702,805,825,832,773,-1.96137005997,3.00106997405,703,804,824,850,772,-1.93754467737,2.77911038942,701,803,824,834,773,-1.97344468024,2.87915496521,703,802,823,793,771,-1.94407454204,2.76432595273,702,802,822,780,771,-1.96438792544,2.80979377926,702,802,821,765,770,-1.95281902064,2.83060925429,702,801,820,765,769,-1.9841625951,2.95908371775,703,799,819,764,769,-1.88446080956,2.74630972116,703,800,820,761,769,-1.78965855439,-1.0850120259
6,697,800,820,762,763,-2.24219328846,2.86656992445,699,797,821,765,762,-2.33276508608,2.92856286578,697,799,820,778,763,-2.31582812929,2.86423647948,687,791,816,772,759,-2.47534803308,3.20408758425,688,789,814,793,756,-2.32402151401,2.98027143063,686,789,813,816,753,-2.19873572148,-3.56314445102,687,787,806,815,745,-1.85361774628,-1.91345893874,688,789,803,829,738,-1.51061603039,-1.52503650319,695,797,811,843,744,-0.981024791686,-1.05196000907,698,796,812,841,739,-0.912898804599,-0.894709271501,699,796,811,846,728,-1.40779170275,-0.675594680531,700,795,810,842,728,-1.4401903528,-0.653360606854,699,795,809,827,728,-1.46014252252,-0.618801714133,700,795,810,802,727,-1.41180906927,-0.530481220176,699,795,810,782,726,-1.4354216071,-0.585446104752,700,795,808,773,727,-1.4177821124,-0.528673349533,699,794,811,759,726,-1.40606706677,-0.587650212521,700,794,809,776,725,-1.39497760462,-0.584575244766,700,794,809,761,725,-1.4151311483,-0.620175280882,700,793,809,751,725,-1.35296929796,-0.613956275862
7,697,800,813,758,736,-2.54519640252,2.92036148793,696,799,810,754,727,-2.66480844107,3.22420762741,693,790,806,758,723,-2.65148644805,3.15733202901,689,780,803,775,724,-2.90087211047,3.29158694742,684,783,800,805,732,-2.3350779547,-2.3160641323,694,797,807,827,737,-1.40523937473,-1.50139117462,701,805,813,843,739,-1.02301210651,-0.992786473516,702,800,813,835,736,-1.53283737734,-0.530268205535,701,796,811,849,732,-1.67861438952,-0.883683538742,703,795,808,832,729,-1.72580988585,-0.807614149358,701,794,806,808,730,-1.72789473294,-0.796124887494,701,793,806,782,727,-1.70524317185,-0.715214997958,701,792,806,783,730,-1.76124317858,-0.913190269924,701,793,805,774,728,-1.73353868017,-0.564744422214,702,793,808,749,730,-1.71817804942,-0.595302026083,701,793,807,753,730,-1.75965812487,-1.12618668001,701,794,807,795,731,-1.75529302116,-0.930107570137,701,795,807,769,733,-1.75075119618,-1.03154771933,701,793,808,793,733,-1.71856350824,-0.77883710701,701,794,808,813,734,-1.69298643389,-0.781019276855
8,697,796,814,824,728,-2.63592042434,3.2060849793,695,797,813,811,725,-2.6880414739,3.17164352752,695,795,812,820,722,-2.58013423997,3.28648925275,692,794,811,833,722,-2.44271958744,3.2884237398,693,794,812,847,723,-2.27458563739,-3.56335531285,693,793,809,840,720,-2.65750747423,-3.09915379402,693,792,810,829,728,-2.37029598012,-2.31607780702,697,798,813,812,736,-1.82036485133,-1.81121452667,700,803,816,793,741,-1.33218409718,-1.3986426591,699,803,814,816,733,-1.64297691032,-1.26584958272,699,796,813,790,737,-1.75683176981,-1.62872068073,700,794,811,779,733,-1.74583804379,-1.55261542337,701,793,810,753,734,-1.78368482313,-1.71073245559,702,793,809,756,732,-1.73975459551,-1.48241390355,702,792,806,771,731,-1.76106090591,-1.61286788947,702,792,807,754,730,-1.71526169539,-1.44522367989,701,791,807,769,729,-1.73264924232,-1.51651835395,702,791,807,814,727,-1.70419824771,-1.37336076522,702,791,807,823,728,-1.7238886008,-1.45823134005,702,791,805,836,727,-1.68161470568,-1.27044540949
9,694,789,813,822,752,-2.20325710322,2.65157846254,695,789,812,838,751,-2.17537603021,2.68039272645,694,788,812,850,752,-2.22943065749,2.69481003057,692,789,812,834,752,-2.29494899657,2.76927206673,687,788,810,846,749,-2.28823025954,3.12948594581,688,787,812,834,751,-2.26356827505,3.50694756334,687,789,813,789,745,-0.9771598272,-0.863542305985,693,796,814,771,740,-0.628628059197,-0.675379547513,690,795,812,759,735,-0.939798748752,-0.525440516952,695,796,811,761,730,-1.09067878352,-0.478045248819,695,794,811,754,728,-1.26822441816,-0.474120726624,695,792,809,757,728,-1.28238440597,-0.48286206021,695,793,810,770,726,-1.25600257138,-0.543986057257,694,794,810,794,727,-1.28274515277,-0.629288230616,695,792,810,814,727,-1.25711695419,-0.63514669691,694,793,810,826,728,-1.23634804134,-0.625400247476,695,794,810,838,728,-1.2063413108,-0.551405631288,696,794,810,823,728,-1.23950860076,-0.663369238296,696,795,811,838,728,-1.39153014032,-0.652939188062,696,795,813,848,720,-1.46275952643,-0.393692380316
