,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139
0,539,588,646,585,559,-0.661936816199,-0.0098658931186,538,577,644,569,559,-0.64062463878,0.0202656048957,540,588,646,586,560,-0.648039084581,-0.0168546898798,539,590,646,569,559,-0.653415890603,0.0076639053281,540,586,645,592,558,-0.624110763813,0.0487406290098,538,587,645,626,561,-0.38552557363,-0.0792283886675,540,588,646,659,557,-0.179917722725,-0.293640856953,534,587,646,700,550,-0.44198679562,-0.224315762184,711,836,831,851,786,-1.4282272704,1.3864343081,721,845,844,892,809,-1.29334195819,1.25915170399,720,849,847,910,819,-1.04277973547,1.44468191106,728,849,844,896,822,-0.7637364273,1.11796509196,724,851,848,831,822,-0.571893525174,0.955053312771,724,849,846,805,821,-0.500983617487,0.891291435991,727,851,836,818,818,-0.715639876414,0.995897530123,723,849,844,802,816,-0.85541351179,1.05849717202,721,848,844,759,799,-0.390537255079,0.403585101296,720,848,841,756,801,-0.333876490671,0.307352700776,714,846,839,770,798,-0.371800280734,0.239900411136,701,836,822,793,761,-0.416127190086,0.183060853626
1,430,519,503,476,466,-1.18666261204,-0.761679152331,429,523,519,531,465,-1.00868108556,-0.718927648003,432,524,518,544,467,-0.794369136079,-0.669525447089,442,527,508,559,468,-0.631849953445,-0.631723987753,612,655,631,657,519,-0.949889028565,-0.313468619305,705,826,803,870,813,-1.60758656001,0.727212842614,706,827,826,871,816,-2.83267989521,2.4842436954,706,834,830,846,817,-1.36467703965,1.75110422943,708,828,828,820,816,-0.548512873285,1.25202584112,706,829,829,823,815,-0.637422326388,1.03561323145,705,828,829,792,814,-0.750859266918,1.13280701314,705,828,829,775,814,-0.896342064964,1.13980774831,705,828,829,747,804,-1.02053785534,1.15223664838,695,823,819,745,749,-0.795377742353,-0.0377597593521,670,801,778,748,702,-0.763611821126,-1.05500027042,624,734,706,726,639,-0.947522548105,-1.1394858749,349,469,522,481,414,-1.180307596,-1.1064398789,367,478,511,518,430,-1.46001834004,-1.42831243096,376,487,501,544,439,-1.47574231494,-1.38334683637,388,490,505,571,445,-1.57971998583,-1.54373159525
2,422,530,577,508,485,0.0990448337441,-0.562542877893,422,528,577,517,484,0.0698049134465,-0.555745992135,429,528,572,544,485,0.0608221395267,-0.543444094667,421,530,579,587,486,0.084338434065,-0.552486470887,423,530,579,600,488,0.0809754843828,-0.583698117849,633,663,703,729,639,-0.734294737992,-0.575733382701,665,776,721,792,739,-3.07099664606,-2.60136120354,663,816,795,848,795,-2.70662379786,-3.38259553987,708,820,802,791,810,-2.97690615012,2.60203358033,708,821,824,790,805,-1.64993615685,1.67024565246,708,821,823,766,801,-1.30229162278,1.26281681325,706,821,821,782,799,-1.3687139939,1.33627803612,705,821,822,766,798,-1.34961826543,1.33163787456,705,820,822,741,799,-1.45656457876,1.44983388391,705,820,822,740,798,-1.73676474587,1.73343472891,704,820,822,752,798,-1.81469230192,1.81709985398,700,821,820,830,787,-1.25872872053,-0.358588418341,683,818,812,778,789,1.41651482253,-1.37147272073,586,719,705,740,593,0.772888540581,-1.03686198446,422,521,540,600,423,0.167751206103,-0.738158930784
3,450,540,575,533,479,0.15091840829,-0.713009878396,451,541,575,548,482,0.133060562696,-0.681061456892,451,541,576,535,481,0.155124234477,-0.705718876466,451,541,575,517,481,0.254576904914,-0.818886665818,450,541,577,511,480,0.649997917093,-0.959984371809,491,563,595,561,501,0.221055837462,-0.950886380479,579,614,599,611,563,-0.540461351948,-0.62093031831,733,846,847,791,840,-2.23308101867,-3.37088290591,717,827,727,730,823,-3.21885275218,2.70399878715,739,852,674,710,849,-2.5563594158,2.33222185585,737,849,841,876,845,-1.94178936806,1.97250510819,738,852,842,878,848,-1.93246430603,1.97013615196,738,852,850,872,845,-1.83757082521,1.8448156096,737,851,850,851,849,-1.8642966909,1.87710342486,734,851,838,884,837,-2.23687648615,2.23566192021,733,850,838,867,846,-2.44720761427,2.68999491448,730,848,839,838,845,-1.79139005141,1.77019702712,725,854,847,808,782,-1.13895042672,-0.14363032982,697,843,812,751,722,-0.269322968941,-0.403476578565,673,820,792,728,708,0.563103166764,-1.06593595812
4,467,555,583,607,486,0.0734670933312,-0.790774077011,466,556,582,626,485,0.0652727357075,-0.788743076122,467,555,582,633,486,0.093818374021,-0.801731032103,475,556,583,622,487,0.0753408674053,-0.796890830987,473,559,584,599,486,0.0773400946477,-0.810481266956,470,562,591,624,489,0.908341237762,1.10993067326,469,558,542,583,492,0.14746246535,1.21861461949,574,625,624,598,575,-1.50687016202,-1.03347163685,715,844,818,756,840,-2.89962133396,3.53597681484,729,853,844,735,851,-2.91406844299,2.84899566056,742,855,862,776,853,-1.72741867652,1.71807374163,742,855,861,776,853,-1.71080589524,1.69617362866,740,855,860,832,853,-1.78301994486,1.77745193876,740,855,861,873,852,-1.69211415692,1.61437455016,739,854,857,884,852,-2.08821464016,2.26902374265,734,854,839,894,845,-1.28713482236,0.272820593478,697,847,834,855,766,0.264906864098,-1.02599323962,702,834,764,841,748,0.716928042128,-1.03713253641,662,804,822,880,743,1.11073408017,-1.15479230303,421,515,567,614,460,0.147124985879,-0.87490427291
5,470,542,600,575,497,0.217711179597,-0.79336935701,470,545,601,565,499,0.232752521634,-0.800204886806,470,544,601,547,499,0.234921089892,-0.80593500349,472,545,602,549,501,0.226626452581,-0.822480757604,473,541,603,536,503,0.558692734393,-1.0228984271,478,548,605,562,504,0.745740294039,-1.13485345563,510,571,626,610,516,-0.155637367581,-1.04135008605,580,599,620,636,554,-1.07714760393,-0.81407468935,636,656,631,660,615,-3.04327434477,3.57410786566,743,852,856,863,847,-2.92672529947,2.95685568329,743,855,858,877,849,-2.09983984869,2.06480741934,742,853,857,907,849,-2.01519784575,2.05010447545,742,852,856,920,850,-2.13571301201,2.17862240786,740,853,829,878,849,-2.03906499633,2.08582206884,738,852,852,835,850,-1.94031528574,1.97301293654,738,852,841,801,848,-1.98828898405,2.01558272071,737,851,849,878,850,-1.7677115896,1.73202006893,734,852,853,838,847,-2.37021572879,2.79931100564,730,853,854,810,816,-2.36379114493,-2.99081495255,725,854,857,796,801,-0.944745396666,-0.569306746282
6,496,566,594,559,500,0.275499194538,-0.848746970518,497,565,595,542,501,0.296714670642,-0.85753809739,498,565,604,536,502,0.242876104669,-0.837907620166,498,565,597,557,501,0.273853402388,-0.835037616209,494,565,596,588,501,0.228828224,-0.827816419152,497,566,599,588,503,0.611927738976,-1.04037476747,499,567,599,608,503,1.29622819182,1.30983040191,501,572,605,628,511,0.880113949913,1.4615772367,590,628,593,659,604,-1.67503193615,-1.50689072019,656,751,758,783,724,-2.03674354775,-3.145397515,725,832,710,748,788,-3.3125249398,-3.25080283723,738,848,839,843,838,-2.43370217511,3.09511612228,740,850,842,800,845,-3.04928171375,2.92211915016,736,854,857,878,847,-1.9347518552,1.9736308696,739,858,856,834,844,-1.97267826693,2.01835385701,738,857,857,791,845,-1.88318715533,1.90865500665,736,854,857,772,847,-2.09440319437,2.15811024431,736,854,854,792,848,-2.4559744826,2.60511955053,734,856,856,771,833,-0.919053377315,0.694935811772,731,857,858,793,813,-0.433564643669,-0.325902620955
7,453,539,573,523,489,0.026143952093,-0.619696074549,463,540,571,518,487,-0.0565094982091,-0.594265772387,453,540,574,539,486,-0.0418650963433,-0.603155901025,455,543,573,567,488,-0.0465150770652,-0.615675196079,457,542,575,599,489,-0.0374582747601,-0.614378018163,458,545,578,590,493,0.307987694095,0.946725657817,460,549,580,602,499,-0.820476816192,-1.25243723327,507,560,593,637,497,-1.44448504147,0.103030028105,707,813,729,787,745,-2.16472320134,-2.40375142989,729,848,746,778,842,-3.52762853274,2.84043628671,735,850,854,821,847,3.45579796093,2.92239911308,742,851,857,808,849,-2.26974279988,2.20787506126,740,855,861,843,853,-2.17004118436,2.25430560152,741,854,861,817,850,-2.18047632641,2.2428630782,740,854,860,796,850,-2.23593178776,2.29501108071,739,854,855,771,849,-2.10938759842,2.19548822032,739,853,859,778,848,-2.17841391783,2.2538762964,738,853,859,800,849,-2.12666783805,2.20622098144,736,853,842,827,847,-2.13576756071,2.22536608579,734,853,859,808,849,-2.06012617808,2.13142629254
8,730,852,854,911,848,-1.87169157588,1.89951360239,729,850,859,926,846,-1.81998880592,1.82570212613,727,851,859,888,847,-1.75369963174,1.74129618613,729,850,858,847,847,-1.7889122013,1.7862198498,727,850,855,814,846,-1.77874796537,1.77145955675,727,850,857,773,845,-2.37459367546,2.67421142487,700,846,846,794,826,-0.500214004788,-1.66347746792,614,785,735,682,677,1.93847488735,-1.8565999298,439,628,614,566,507,1.3498257295,1.36985115695,381,508,498,471,469,1.07860440823,-1.35019105075,379,501,521,496,465,0.688392628702,-1.22536710193,413,522,525,533,481,0.0320608997887,-0.977541912396,446,544,533,555,488,-0.654373344781,-0.765172704657,509,569,575,611,494,-2.36336710837,3.54194276758,733,841,826,844,837,-2.25702396217,-3.56992694451,737,845,846,876,844,-2.05226035126,2.02168585807,742,847,850,895,846,-2.12185222247,2.20036491753,735,849,856,908,845,-2.12968249683,2.19949424364,734,849,856,890,845,-1.93715796265,1.98119755459,734,850,854,818,843,-2.05909747761,2.10855456827
9,424,546,595,568,525,0.0483458990687,-0.891070165638,432,534,587,540,505,-0.0295915705209,-0.764254495776,440,537,590,524,503,-0.110578410786,-0.786134457751,439,537,593,528,510,-0.104741196652,-0.896786299034,433,527,583,537,509,-0.0923724344775,-0.972259701472,401,504,560,544,500,-0.20440092564,-0.860989525232,383,475,528,538,470,-0.220264904514,-0.871009601037,382,474,498,524,466,-0.0934456266393,-0.851176910945,439,519,574,578,497,-0.465845058342,-1.20379064645,554,585,629,639,558,-1.64701539976,-1.4193175601,641,660,670,709,611,-1.44854192308,0.661532810261,694,797,698,793,707,3.29730837106,-3.40138442602,733,846,794,851,835,1.98984197619,-2.2031204679,740,848,760,780,844,-2.53575584325,2.55765799526,740,842,851,835,844,3.49281083436,2.95805722015,739,852,807,840,848,-2.28347844288,2.40678330203,737,851,797,801,848,-2.16895257951,2.29699241788,735,851,789,742,847,-2.13384717782,2.26649375391,734,852,815,726,847,-2.26209657887,2.33492350718,733,850,770,713,846,-2.13136462381,2.22043287842
