,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139
0,715,827,844,778,768,-1.11334002464,-1.69662280145,715,826,842,788,769,-1.09495864771,-1.68556187251,715,826,842,790,769,-1.04260431171,-1.68252377275,716,825,843,813,769,-1.01730534092,-1.67982661367,715,825,842,843,769,-1.03267641663,-1.6848741147,715,823,842,853,768,-0.990337889375,-1.67851170641,715,825,842,872,769,-1.00631504877,-1.69797867324,716,826,841,883,768,-1.0210786065,-1.68369922033,715,828,843,857,769,-1.05076124939,-1.67935624214,716,825,843,875,769,-1.00983910676,-1.69154446839,716,826,844,856,770,-1.00348018429,-1.69069820375,715,826,843,823,769,-0.893029690931,-1.68390863596,715,827,841,806,769,-0.925001544877,-1.69669535962,715,826,843,791,769,-0.989852160249,-1.68236345718,716,826,843,778,769,-1.06164771746,-1.68915058979,715,825,840,780,769,-0.962260996065,-1.66342186401,715,827,841,779,769,-1.00737250379,-1.68129340237,716,826,847,783,769,-1.01821932609,-1.68188689361,715,825,844,800,768,-1.08270901056,-1.68007693777,715,825,842,829,769,-0.99436454279,-1.67749880527
1,715,825,837,887,770,-0.998900921571,-1.66644489991,716,826,842,877,771,-0.929419205111,-1.65835834176,717,826,843,856,769,-1.08208952628,-1.68916082341,717,826,843,826,770,-1.01165010213,-1.66794257882,715,826,847,854,769,-1.05493782481,-1.67827156442,716,826,843,823,769,-1.00148041792,-1.67139044915,716,826,843,789,769,-1.08558883898,-1.66979732471,716,825,842,778,769,-0.948764549916,-1.67804634678,715,826,842,800,768,-1.05320543698,-1.67826598975,715,825,843,783,769,-0.999490570287,-1.68047186765,715,825,843,803,769,-1.03429323997,-1.68100338821,715,825,843,834,768,-0.920499579862,-1.66555711835,716,826,842,863,769,-0.995364849082,-1.6705323148,715,826,843,883,769,-1.02033957133,-1.67716640818,715,826,842,883,769,-1.10039219178,-1.6894269534,715,825,844,869,769,-1.04369674049,-1.67305967007,716,825,842,883,770,-1.06440127456,-1.68507311962,715,826,842,866,769,-1.05650450468,-1.68389388457,719,826,843,837,769,-1.01079508024,-1.67907112028,715,826,843,812,769,-1.02860058882,-1.66940958325
2,719,827,846,816,766,-1.81987454724,-1.80892313523,720,827,846,804,767,-1.89379670197,-1.84031661974,720,826,846,787,766,-2.07013886695,-1.88658053223,720,828,844,786,766,-2.2978527545,-1.91519192662,720,826,842,798,767,-1.69663561019,-1.76679992569,721,826,846,790,768,-1.82210781261,-1.80775621538,721,826,845,801,768,-1.82724099333,-1.80918416496,721,826,841,823,768,-1.8373704722,-1.81305267665,721,827,846,847,768,-1.80347230154,-1.80123465397,721,827,845,877,768,-1.80366099393,-1.8012007663,723,828,844,884,768,-1.81223975093,-1.80417943617,721,828,843,874,768,-1.87890232535,-1.82606570324,720,827,846,885,766,-1.85468102941,-1.81889794129,721,827,845,875,769,-1.82947365955,-1.81006586245,721,826,845,825,768,-1.83011806021,-1.80988032796,721,827,845,811,768,-1.8360041191,-1.81236656846,721,827,845,795,768,-1.8328596573,-1.812079989,721,827,845,794,768,-1.83115137853,-1.81082500665,724,828,844,783,768,-1.84880918845,-1.81557729382,720,826,843,788,769,-1.76349140182,-1.78741516448
3,721,827,844,815,766,-1.85039422162,-1.81812919885,721,827,844,843,766,-1.82847226915,-1.81000544524,721,827,844,853,766,-1.85142392336,-1.81741547064,721,827,845,870,767,-1.78933569662,-1.79611362893,721,827,844,882,767,-1.79491140079,-1.79817622101,721,827,844,861,767,-1.79412675123,-1.79791850021,720,827,844,879,766,-1.89876119486,-1.83200259982,722,826,845,860,766,-1.85933115571,-1.81942164239,721,827,845,835,767,-1.82633608786,-1.80842982842,721,826,844,814,767,-1.76974672824,-1.78929063901,721,825,844,786,766,-1.74812286112,-1.78115266204,721,827,845,785,767,-1.72413963508,-1.77267371795,722,826,845,786,767,-1.89869692143,-1.83144502787,722,827,843,786,766,-1.8482637917,-1.81658090811,721,827,844,798,766,-1.72826386563,-1.77413818772,722,827,844,821,766,-1.74700992474,-1.78044512108,722,826,844,856,766,-1.89877690478,-1.83344312237,722,826,844,875,767,-1.97950612191,-1.85334621348,716,827,844,886,766,-1.76990999895,-1.78955829137,722,827,844,876,767,-1.81749668271,-1.80641912391
4,721,826,845,832,766,-1.85222308496,-1.81833660366,722,827,844,849,767,-1.81270435149,-1.80427291487,722,826,844,862,766,-1.80812951437,-1.80269157507,721,828,843,881,766,-1.76534264401,-1.78797389911,723,827,844,848,767,-1.85451923526,-1.81820481509,722,827,844,818,768,-1.77164475493,-1.79043173803,722,827,844,846,767,-1.7947308907,-1.79819585776,722,827,844,816,766,-1.77453801044,-1.79124925784,722,827,844,790,767,-1.76590476183,-1.78789514659,722,826,843,791,766,-1.78631309669,-1.79515507482,722,827,844,809,766,-1.85396476987,-1.81855510488,722,826,844,791,766,-1.85066793942,-1.81815788089,722,827,844,838,766,-1.77364562121,-1.79101172945,722,827,844,867,767,-1.7657774111,-1.78771403665,721,827,844,882,767,-1.7760518024,-1.79122171268,721,827,843,883,767,-1.7562141763,-1.78397538735,721,827,843,879,766,-1.78098295889,-1.79338501676,721,826,841,836,767,-1.820373834,-1.80722166164,722,827,843,815,766,-1.77709503916,-1.79214650047,722,828,843,803,766,-1.8144863178,-1.80514832568
5,723,838,852,801,735,-0.112503202574,0.00391583225109,723,837,852,788,730,-0.136999682665,0.0339417594884,723,837,850,790,725,-0.136325045268,0.0213526916205,721,836,849,809,721,-0.13667199731,0.00125038346499,721,836,848,836,716,-0.144855223323,0.0192037372686,721,837,848,809,730,-0.170678697698,0.0330122656234,721,837,848,838,737,-0.143812483784,0.0313320518964,721,837,849,856,738,-0.170533362971,0.0348112023807,721,837,848,888,737,-0.162758344225,0.0383588400942,720,837,848,888,738,-0.119422876302,0.0373802331055,720,836,848,872,737,-0.14913915416,0.0211591530124,721,836,848,872,743,-0.145026832007,0.0452375612513,721,836,848,847,742,-0.129505749967,0.0393471802505,721,836,847,818,741,-0.152423491007,0.0508485968754,721,836,848,806,741,-0.150297355303,0.0505522262955,722,836,845,788,740,-0.131681995844,0.0565092144146,720,835,846,793,739,-0.156021601874,0.0502473358261,720,835,845,782,740,-0.149653057902,0.0499096883805,720,835,844,793,736,-0.144103717615,0.056065536631,720,834,844,814,737,-0.169089774093,0.0597560403569
6,720,834,841,807,732,-0.176637712212,0.054493528003,720,834,841,793,733,-0.179873875778,0.0468558319351,719,834,841,776,733,-0.169152861074,0.072217383535,719,833,839,794,733,-0.188363057772,0.0294491503094,719,832,838,824,731,-0.169018136559,0.0357299538021,719,833,838,844,732,-0.181515144517,0.0481744562192,720,833,838,857,731,-0.182003420563,0.0754238362632,720,832,837,844,727,-0.173677260581,0.0534770429973,719,833,836,856,728,-0.193372803259,0.0438835248619,719,833,837,875,728,-0.171519667791,0.0704536473222,719,832,836,880,729,-0.169576017646,0.0510910995511,720,832,836,865,729,-0.194143952929,0.0538492461934,720,834,837,844,728,-0.165988415566,0.0765338838411,719,832,836,811,726,-0.172993466706,0.0600642441886,720,831,836,839,729,-0.190225349817,0.0387274549934,720,832,835,809,728,-0.184680763042,0.0733599480706,719,832,835,797,727,-0.163977400084,0.0444224299096,720,833,834,780,728,-0.200280419661,0.0548255798884,719,833,835,771,729,-0.207879836438,0.0628408267306,720,831,835,777,730,-0.180706280786,0.0578594233108
7,720,832,836,839,731,-0.182552474433,0.0566100817325,721,830,834,849,731,-0.172293405494,0.0505492115866,719,832,835,864,731,-0.161435516045,0.0591744894712,719,832,835,850,732,-0.139855922665,0.0600495133526,720,832,835,866,732,-0.156552734178,0.0674733038356,719,833,837,881,732,-0.17575822815,0.0565155741082,719,833,834,852,732,-0.137092422082,0.0496321637923,719,833,835,824,732,-0.181751242952,0.051749618543,719,833,835,792,732,-0.159951733011,0.0497294891134,718,833,837,826,731,-0.109137215988,-0.00638114923456,719,833,836,803,731,-0.120896767162,-0.0161186125243,719,833,836,790,731,-0.13956378911,-0.0245848476186,719,833,836,773,731,-0.120555184251,0.0105597760126,719,832,836,774,730,-0.12138638052,0.0583280330149,718,834,836,812,731,-0.141075808605,0.0153731836479,720,834,836,842,733,-0.113609287824,0.00182039078147,719,833,837,813,733,-0.143851900642,-0.0371803864371,719,833,838,844,733,-0.140493604827,-0.0510679850063,719,833,838,852,734,-0.131626449364,-0.0663683897605,718,833,838,869,735,-0.144797747592,-0.0861326937438
8,719,834,842,790,738,0.273983455407,-0.0701364407637,718,833,840,813,739,0.242069014775,-0.0726440529577,717,834,841,843,738,0.259721378553,-0.0763815890529,717,834,840,811,737,0.233908435668,-0.101977229677,719,835,841,845,737,0.247249253331,-0.0970624619137,719,835,841,853,738,0.247195086795,-0.0925154645516,719,834,841,870,738,0.248386174243,-0.0892593456418,718,832,840,883,738,0.248911578151,-0.090465323718,723,835,842,863,737,0.245437225735,-0.100704287549,718,833,840,834,739,0.24723046166,-0.08048990626,720,833,841,881,738,0.261670186007,-0.0899496750667,719,834,841,863,738,0.213821105498,-0.0832317016898,719,833,841,811,738,0.24430826644,-0.0878377861842,719,834,842,802,738,0.244636957942,-0.0901550105038,718,835,841,776,738,0.250929930429,-0.103375542709,719,833,840,786,737,0.256324147763,-0.0991237340254,718,835,841,775,736,0.260671391202,-0.112236007283,719,835,840,784,736,0.231782907257,-0.103752324339,718,832,838,834,735,0.244937650287,-0.118741787844,719,834,839,849,735,0.260945165316,-0.0893987690497
9,719,833,839,814,736,0.25816959564,-0.155283127087,719,833,839,802,734,0.25397334079,-0.150562192377,719,833,839,784,734,0.25921116765,-0.138100140341,717,833,838,781,735,0.243373941997,-0.128344314757,718,832,836,800,735,0.272610585782,-0.151642052885,719,832,838,826,734,0.221255565497,-0.196810109945,719,833,838,846,734,0.243280979111,-0.180673420737,719,833,838,827,734,0.219574073294,-0.180122737902,719,833,839,847,735,0.255871942889,-0.157457376627,719,833,838,878,735,0.205339941415,-0.173550060663,719,838,829,879,735,0.242866192949,-0.16369879598,718,833,839,871,735,0.236416122968,-0.179068574051,720,833,839,845,735,0.229953224528,-0.180959226252,719,833,839,869,735,0.242943513115,-0.184065872579,719,834,839,848,736,0.20103162703,-0.171315633275,719,833,838,817,736,0.233755539628,-0.178311002587,720,834,837,801,734,0.210477405604,-0.170752427317,719,833,835,771,732,0.213460833159,-0.18171855309,719,832,834,776,731,0.209596092091,-0.158094079227,720,831,833,770,730,0.225271656805,-0.172038496643
